Produto,Tipo,Marca1/Preço1,Marca2/Preço2,Marca3/Preço3,Total,Media,Quantidade/Int,Total/Int,Unnamed: 12
OVOS (1 Dz.),marca,Branco,Vermelho,xxxxxxx,Total,Media,Quantidade	,TOTAL,
OVOS (1 Dz.),preço,7.89,7.89,,15.78,7.89,3,23.67,
MARGARINA (250g),marca,Qualy,Doriana,Delícia,Total,Media,Quantidade	,TOTAL,
MARGARINA (250g),preço,4.49,4.49,4.49,13.47,4.49,4,17.96,
EXTRATO DE TOMATE (340g),marca,Anchieta ,Quero,Colonial,Total,Media,Quantidade	,TOTAL,
EXTRATO DE TOMATE (340g),preço,2.49,2.49,2.49,7.47,2.49,2,4.98,
PÃO FRANCÊS (1kg),marca,Pão,xxxxxxx,xxxxxxx,Total,Media,Quantidade	,TOTAL,
PÃO FRANCÊS (1kg),preço,0,,,0,0,6,0,
FRUTA / BANANA (1kg),marca,Prata,Caturra,xxxxxxx,Total,Media,Quantidade	,TOTAL,
FRUTA / BANANA (1kg),preço,3.89,3.89,,7.78,3.89,7.5,29.175,
ÓLEO DE SOJA (900ml),marca,ABC,Soya,Corcovado,Total,Media,Quantidade	,TOTAL,
ÓLEO DE SOJA (900ml),preço,10.99,10.99,10.99,32.97,10.99,5,54.95,
LEITE (1L),marca,Itambé,Cemil,Camponesa,Total,Media,Quantidade	,TOTAL,
LEITE (1L),preço,4.99,4.99,4.99,14.97,4.99,7.5,37.425,0.0
LEITE EM PÓ (450g),marca,Itambé,Nutril,Camponesa,Total,Media,Quantidade	,TOTAL,
LEITE EM PÓ (450g),preço,0,0,0,0,0,3,0,
MACARRÃO (pac. 500g),marca,Santa Amália,Yara,Vilma,Total,Media,Quantidade	,TOTAL,
MACARRÃO (pac. 500g),preço,3.99,3.99,3.99,11.97,3.99,4,15.96,
BISCOITO MAISENA (pac. 200g),marca,Mabel,Marilan,Aymoré,Total,Media,Quantidade	,TOTAL,
BISCOITO MAISENA (pac. 200g),preço,0,0,0,0,0,4,0,
CARNE DE PRIMEIRA (1kg),marca,Acém ,Alcatra,Coxão Mole,Total,Media,Quantidade	,TOTAL,
CARNE DE PRIMEIRA (1kg),preço,38.99,38.99,38.99,116.97,38.99,3,116.97,
CARNE DE SEGUNDA (1kg),marca,Acém,Costela,Coxão Duro,Total,Media,Quantidade	,TOTAL,
CARNE DE SEGUNDA (1kg),preço,23.99,23.99,23.99,71.97,23.99,4,95.96,
FRANGO RESFRIADO INT. (1kg),marca,Frial,Sadia,xxxxxxx,Total,Media,Quantidade	,TOTAL,
FRANGO RESFRIADO INT. (1kg),preço,8.99,8.99,,17.98,8.99,5,44.95,
SALSICHA AVULSA (1kg),marca,Avivar,Sadia,Pif-paf,Total,Media,Quantidade	,TOTAL,
SALSICHA AVULSA (1kg),preço,9.99,9.99,9.99,29.97,9.99,0.5,4.995,
LINGUIÇA TOSCANA FRESCA (1kg),marca,Frial,Sadia,Saudali,Total,Media,Quantidade	,TOTAL,
LINGUIÇA TOSCANA FRESCA (1kg),preço,15.99,15.99,15.99,47.97,15.99,0.3,4.797,
QUEIJO MUSSARELA FAT. (1kg),marca,Vida,Quero,Vista Alegre,Total,Media,Quantidade	,TOTAL,
QUEIJO MUSSARELA FAT. (1kg),preço,39.99,39.99,39.99,119.97,39.99,0.5,19.995,
,,,,,Total,Media,Quantidade	,TOTAL,
,,,,,,,,,
SABÃO EM PÓ (500g),marca,Tixan Ypê,Brilhante,OMO,Total,Media,Quantidade	,TOTAL,
SABÃO EM PÓ (500g),preço,5.99,5.99,5.99,17.97,5.99,4,23.96,
SABÃO EM BARRA (unid.),marca,Ypê,Minuano,xxxxxxx,Total,Media,Quantidade	,TOTAL,
SABÃO EM BARRA (unid.),preço,2.39,2.39,2.39,7.17,2.39,15,35.85,
ÁGUA SANITÁRIA (1L),marca,Ypê,Tuff,Qboa,Total,Media,Quantidade	,TOTAL,
ÁGUA SANITÁRIA (1L),preço,2.89,2.89,2.89,8.67,2.89,2,5.78,
DETERGENTE (500 ml),marca,Ypê,Minuano,Limpol,Total,Media,Quantidade	,TOTAL,
DETERGENTE (500 ml),preço,2.59,2.59,2.59,7.77,2.59,2,5.18,
,,,,,Total,Media,Quantidade	,TOTAL,
,,,,,,,,,
PAPEL HIGIÊNICO (pac. 4 unid.),marca,Paradiso,Valor,Personal,Total,Media,Quantidade	,TOTAL,
PAPEL HIGIÊNICO (pac. 4 unid.),preço,3.59,3.59,3.59,10.77,3.59,3,10.77,
CREME DENTAL (tubo 90g),marca,Colgate,Sorriso,xxxxxxx,Total,Media,Quantidade	,TOTAL,
CREME DENTAL (tubo 90g),preço,2.84,2.84,,5.68,2.84,2,5.68,
SABONETE (90g),marca,Lux,Palmolive,xxxxxxx,Total,Media,Quantidade	,TOTAL,
SABONETE (90g),preço,1.59,1.59,,3.18,1.59,10,15.9,
DESODORANTE SPRAY (100ml),marca,Rexona ,Monange ,xxxxxxx,Total,Media,Quantidade	,TOTAL,
DESODORANTE SPRAY (100ml),preço,9.99,9.99,,19.98,9.99,2,19.98,
ABSORVENTE (pac. 8 unid.),marca,Sym,Intimus,xxxxxxx,Total,Media,Quantidade	,TOTAL,
ABSORVENTE (pac. 8 unid.),preço,,,,,,,,
Valor Total,marca,,,,Total,323.94,,906.105,
